Diseases,Meaningful_Symptoms,Has_Disease
Signs and symptoms,,Yes
Respiratory disease,,Yes
Disease,",",Yes
Streptococcus pneumoniae (redirect from Pneumococcal disease),,Yes
ALS (redirect from Motor symptoms),,Yes
Waterborne diseases,,Yes
Symptoms of COVID-19,,Yes
Motor neuron diseases,,Yes
Lyme disease,",",Yes
Signs and symptoms of Parkinson's disease,,Yes
Sexually transmitted infection (redirect from Sexually transmitted diseases and infections),,Yes
"Hand, foot, and mouth disease",,Yes
Alzheimer's disease,",",Yes
Variant Creutzfeldt–Jakob disease,,Yes
Neurological disorder (redirect from Neurological symptoms),,Yes
Kawasaki disease,,Yes
Huntington's disease,.,Yes
Four Big Pollution Diseases of Japan,,Yes
Addison's disease,,Yes
Sarcoidosis (redirect from Besnier-Boeck-Schaumann disease),,Yes
Gastrointestinal disease,,Yes
Chronic Lyme disease,,Yes
Central nervous system disease,,Yes
Kuru (disease),,Yes
Asymptomatic (redirect from Subclinical symptoms),.,Yes
Crohn's disease,",",Yes
Cancer signs and symptoms,",",Yes
Cerebrovascular disease,,Yes
Rabies (redirect from Symptoms of rabies),,Yes
Stomach disease,.,Yes
COVID-19 (redirect from 2019-nCoV Acute Respiratory Disease),,Yes
Roseola (redirect from Sixth disease),,Yes
Infectious mononucleosis (redirect from Pfeiffer's disease),",",Yes
Dementia with Lewy bodies (redirect from Diffuse Lewy body disease),,Yes
Wilson's disease,,Yes
Castleman disease,,Yes
Giardiasis (redirect from Hiker's Disease),,Yes
Ménière's disease,,Yes
Demyelinating disease,),Yes
Scabies (category Tropical diseases),,Yes
Lupus (redirect from Lupus and the brain),,Yes
Nail disease,,Yes
Signs and symptoms of Graves' disease,,Yes
Chagas disease,,Yes
Dengue fever (redirect from Dengue symptoms and prevention),,Yes
Influenza (redirect from Symptoms of influenza),,Yes
Cellulitis (category Equine injury and lameness),,Yes
Fatal insomnia (category Rare diseases),,Yes
Graves' disease,,Yes
Restless legs syndrome (redirect from Ekbom Disease),.,Yes
Creutzfeldt–Jakob disease,,Yes
Dysautonomia (redirect from Dysautonomia (does not have to be familial) (Autonomic Nervous System Diseases)),,Yes
Genital herpes (category Sexually transmitted diseases and infections),,Yes
Dementia (redirect from Behavioral and psychological symptoms of dementia),,Yes
Common cold (redirect from Cold (disease)),,Yes
Extrapyramidal symptoms,,Yes
Neglected tropical diseases,,Yes
Signs and symptoms of HIV/AIDS,(,Yes
Multiple sclerosis (category Epstein–Barr virus–associated diseases),,Yes
Prodrome (redirect from Prodromal symptoms),.,Yes
Coeliac disease,,Yes
Neuroborreliosis (redirect from Neurologic lyme disease),,Yes
Gastroesophageal reflux disease,",",Yes
Hashimoto's thyroiditis (redirect from Hashimoto's disease),.,Yes
Fungal infection (redirect from Fungal disease),,Yes
Neurosyphilis (category Sexually transmitted diseases and infections),,Yes
Pulmonary fibrosis (redirect from Fibrotic lung disease),",",Yes
Ulcerative colitis (category Autoimmune diseases),,Yes
Irritable bowel syndrome (redirect from Irritable Bowel Disease),,Yes
Chronic fatigue syndrome (redirect from Children and ME),.,Yes
Urbach–Wiethe disease,,Yes
Buteyko method,,Yes
Polio (redirect from Heine-Medin disease),",",Yes
Infection (redirect from Infectious diseases),(,Yes
Wernicke encephalopathy (redirect from Wernicke's Disease),,Yes
Asthma (redirect from Signs and symptoms of asthma),,Yes
Tick-borne disease,,Yes
Indigestion (category Digestive disease symptoms),",",Yes
Frontotemporal dementia (redirect from Pick's disease),:,Yes
Non-celiac gluten sensitivity (section Signs and symptoms),,Yes
Spinal stenosis (redirect from Spinal Stenosis information and treatments),.,Yes
Bayesian network (section Inference and learning),",",Yes
Cat-scratch disease,,Yes
List of diseases spread by invertebrates,.,Yes
Somatic symptom disorder,,Yes
Legionnaires' disease,,Yes
Gerstmann–Sträussler–Scheinker syndrome (redirect from Gertsmann-Sträussler-Scheinker Disease),,Yes
Chronic obstructive pulmonary disease,",",Yes
Peripheral neuropathy (redirect from Peripheral nervous system diseases),,Yes
Minamata disease,,Yes
Adenovirus infection (section Signs and symptoms),,Yes
"Female hysteria (section Middle Ages, Renaissance, and the early modern period)",,Yes
Strongyloidiasis (category Tropical diseases),.,Yes
Inflammatory bowel disease,,Yes
Peptic ulcer disease,,Yes
Menopause (redirect from Menopausal symptoms),:,Yes
Coronary artery disease,,Yes
Psychogenic disease,,Yes
Functional neurologic disorder (redirect from Functional Neurological Symptom Disorder),",",Yes
Mitochondrial disease,,Yes
Diseases Database,,Yes
Leptospirosis (redirect from Weil's disease),,Yes
Trichomoniasis (category Protozoal diseases),",",Yes
Foodborne illness (redirect from Food-borne diseases),atic,Yes
Hypoglycemia (section Signs and symptoms),,Yes
Charcot–Marie–Tooth disease,,Yes
Pilonidal disease,,Yes
Symptomatic treatment,,Yes
Kidney failure (redirect from End stage renal disease),,Yes
Botulism (redirect from Qapqal disease),,Yes
List of dog diseases,) .,Yes
Porphyria (redirect from The Vampire Disease),,Yes
Spondylosis (section Signs and symptoms),,Yes
Polycystic ovary syndrome (redirect from Polycystic ovarian disease),,Yes
Prostate (redirect from Prostate symptoms),.,Yes
Incubation period (redirect from Infectious disease incubation period),,Yes
Glycogen storage disease,;,Yes
West Nile fever (redirect from West Nile disease),,Yes
Schizophrenia (redirect from Schizophrenia: Symptoms),",",Yes
Fusarium wilt (category Fungal plant pathogens and diseases),.,Yes
Cirrhosis (redirect from End-stage liver disease),,Yes
Long COVID (section Signs and symptoms),,Yes
Lafora disease,,Yes
Malignancy (redirect from Malignant disease),,Yes
Mixed connective tissue disease,,Yes
Hypochondriasis (category Somatic symptom disorders),,Yes
Chronic inflammatory demyelinating polyneuropathy (redirect from Combined central and peripheral demyelination),,Yes
Dehydration (redirect from Symptoms of dehydration),,Yes
Breast disease,,Yes
Leaf spot (redirect from Leaf spot disease),,Yes
B symptoms,,Yes
Gastritis (section Signs and symptoms),,Yes
Whipple's disease,,Yes
Osgood–Schlatter disease,",",Yes
Elephantiasis (category Symptoms and signs: Skin and subcutaneous tissue),,Yes
Interstitial lung disease,,Yes
Polymyalgia rheumatica (section Signs and symptoms),,Yes
Medical diagnosis (section Society and culture),,Yes
Hemorrhoid (redirect from Hemorrhoid disease),,Yes
Blastomycosis (redirect from Gilchrist's disease),,Yes
Thyroid disease,,Yes
Bovine spongiform encephalopathy (redirect from Mad cow disease),",",Yes
Fish disease and parasites,",",Yes
Hypertension (redirect from Signs and symptoms of hypertension),,Yes
Cold agglutinin disease,,Yes
Remission (medicine) (category Disease stubs),". ,",Yes
Stomach rumble (category Symptoms and signs: Digestive system and abdomen),,Yes
Conversion disorder (category Somatic symptom disorders),,Yes
Ankylosing spondylitis (redirect from Marie-Strümpell disease),,Yes
Chronic traumatic encephalopathy (redirect from Signs and symptoms of chronic traumatic encephalopathy),,Yes
Stiff-person syndrome (redirect from Progressive encephalomyelitis with rigidity and myoclonus),,Yes
Whooping cough (category Bacterial diseases),,Yes
List of medical symptoms,.,Yes
Psychoorganic syndrome (section Symptoms),,Yes
Tuberous sclerosis (redirect from Bourneville-Pringle disease),,Yes
Behçet's disease,.,Yes
Tuberculosis (redirect from Consumption (disease)),,Yes
Parkinsonism (redirect from Parkinson's disease mimics),,Yes
Pelvic inflammatory disease,",",Yes
Fibromyalgia (section Signs and symptoms),,Yes
Bronchitis (category Chronic lower respiratory diseases),,Yes
Scombroid food poisoning (category Fish diseases),",",Yes
Sweating sickness (category Disease outbreaks in England),,Yes
Sjögren syndrome (redirect from Sjogren's disease),,Yes
List of eponymous diseases,,Yes
Syndrome (redirect from Withrawal symptoms),,Yes
Sinusitis (section Signs and symptoms),,Yes
Metabolic disorder (redirect from Metabolic diseases),,Yes
Polyneuropathy in dogs and cats,,Yes
Common variable immunodeficiency (category Genetic diseases and disorders),:,Yes
Cardiomyopathy (section Signs and symptoms),,Yes
Peripheral artery disease,,Yes
Oak wilt (category Fungal tree pathogens and diseases),.,Yes
Hyperthyroidism (category Cat diseases),,Yes
"Cerebellar ataxia, neuropathy, vestibular areflexia syndrome (section Signs and symptoms)",.,Yes
Schistosomiasis (redirect from Schistosomiasis (skin symptoms)),ificant,Yes
Chronic liver disease,,Yes
Parkinson's disease dementia,,Yes
Hunter syndrome (redirect from Hunter's disease),,Yes
Atherosclerosis (redirect from Homogenized Milk and Atherosclerosis),",",Yes
Fifth disease,,Yes
Giant cell arteritis (redirect from Horton's disease),",",Yes
Nicotine withdrawal (section Signs and symptoms),.,Yes
Mosquito-borne disease,,Yes
Sugarcane grassy shoot disease,,Yes
Somatization disorder (category Somatic symptom disorders),,Yes
Ebola (redirect from Ebola virus disease),,Yes
Syphilis (redirect from Syphilis disease),,Yes
Lifestyle disease,,Yes
Lupus erythematosus (redirect from Cazenave's disease),.,Yes
Depression (mood) (redirect from Symptoms of depression),,Yes
