Diseases,Symptoms,Disease_Present
Signs and symptoms,set(),1
Respiratory disease,set(),1
Disease,set(),1
Streptococcus pneumoniae (redirect from Pneumococcal disease),set(),1
ALS (redirect from Motor symptoms),set(),1
Waterborne diseases,set(),1
Symptoms of COVID-19,set(),1
Motor neuron diseases,set(),1
Lyme disease,set(),1
Signs and symptoms of Parkinson's disease,set(),1
Sexually transmitted infection (redirect from Sexually transmitted diseases and infections),set(),1
"Hand, foot, and mouth disease",set(),1
Alzheimer's disease,set(),1
Variant Creutzfeldt–Jakob disease,set(),1
Neurological disorder (redirect from Neurological symptoms),set(),1
Kawasaki disease,set(),1
Huntington's disease,set(),1
Four Big Pollution Diseases of Japan,set(),1
Addison's disease,set(),1
Sarcoidosis (redirect from Besnier-Boeck-Schaumann disease),set(),1
Gastrointestinal disease,set(),1
Chronic Lyme disease,set(),1
Central nervous system disease,set(),1
Kuru (disease),set(),1
Asymptomatic (redirect from Subclinical symptoms),set(),1
Crohn's disease,set(),1
Cancer signs and symptoms,set(),1
Cerebrovascular disease,set(),1
Rabies (redirect from Symptoms of rabies),set(),1
Stomach disease,set(),1
COVID-19 (redirect from 2019-nCoV Acute Respiratory Disease),set(),1
Roseola (redirect from Sixth disease),set(),1
Infectious mononucleosis (redirect from Pfeiffer's disease),set(),1
Dementia with Lewy bodies (redirect from Diffuse Lewy body disease),set(),1
Wilson's disease,set(),1
Castleman disease,set(),1
Giardiasis (redirect from Hiker's Disease),set(),1
Ménière's disease,set(),1
Demyelinating disease,set(),1
Scabies (category Tropical diseases),set(),1
Lupus (redirect from Lupus and the brain),set(),1
Nail disease,set(),1
Signs and symptoms of Graves' disease,set(),1
Chagas disease,set(),1
Dengue fever (redirect from Dengue symptoms and prevention),set(),1
Influenza (redirect from Symptoms of influenza),set(),1
Cellulitis (category Equine injury and lameness),set(),1
Fatal insomnia (category Rare diseases),set(),1
Graves' disease,set(),1
Restless legs syndrome (redirect from Ekbom Disease),set(),1
